1,1,Genesis,Gn,1
2,2,Exodo,Ex,1
3,3,Levitico,Lv,1
4,4,Numeros,Nm,1
5,5,Deuteronomio,Dt,1
6,6,Josue,Js,1
7,7,Juizes,Jz,1
8,8,Rute,Rt,1
9,9,I Samuel,1Sm,1
10,10,II Samuel,2Sm,1
11,11,I Reis,1Rs,1
12,12,II Reis,2Rs,1
13,13,I Cronicas,1Cr,1
14,14,II Cronicas,2Cr,1
15,15,Esdras,Ed,1
16,16,Neemias,Ne,1
17,17,Ester,Et,1
18,18,Jo,Jo,1
19,19,Salmos,Sl,1
20,20,Proverbios,Pv,1
21,21,Eclesiastes,Ec,1
22,22,Cantico dos Canticos,Ct,1
23,23,Isaias,Is,1
24,24,Jeremias,Jr,1
25,25,Lamentacoes Jeremias,Lm,1
26,26,Ezequiel,Ez,1
27,27,Daniel,Dn,1
28,28,Oseias,Os,1
29,29,Joel,Jl,1
30,30,Amos,Am,1
31,31,Obadias,Ob,1
32,32,Jonas,Jn,1
33,33,Miqueias,Mq,1
34,34,Naum,Na,1
35,35,Habacuque,Hc,1
36,36,Sofonias,Sf,1
37,37,Ageu,Ag,1
38,38,Zacarias,Zc,1
39,39,Malaquias,Ml,1
40,1,Mateus,Mt,2
41,2,Marcos,Mc,2
42,3,Lucas,Lc,2
43,4,Joao,Jo,2
44,5,Atos,At,2
45,6,Romanos,Rm,2
46,7,I Corintios,1Co,2
47,8,II Corintios,2Co,2
48,9,Galatas,Gl,2
49,10,Efesios,Ef,2
50,11,Filipenses,Fp,2
51,12,Colossenses,Cl,2
52,13,I Tessalonicenses,1Ts,2
53,14,II Tessalonicenses,2TTs,2
54,15,I Timoteo,1Tm,2
55,16,II Timoteo,2Tm,2
56,17,Tito,Tt,2
57,18,Filemom,Fm,2
58,19,Hebreus,Hb,2
59,20,Tiago,Tg,2
60,21,I Pedro,1Pe,2
61,22,II Pedro,2Pe,2
62,23,I Joao,1Jo,2
63,24,II Joao,2Jo,2
64,25,III Joao,3Jo,2
65,26,Judas,Jd,2
66,27,Apocalipse,Ap,2